LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
54596,MT_DFO_LUP_2022_BSC_NR_001_V12022-09-01,6212,18778
2718,NM_RFO_LUP_2023_RFO2023-029_V12023-09-01,6227,18798
22547,16090611365981192016-09-01,6254,18856
22547,16090611365981192016-09-01,6255,18855
44151,20070408200465712020-09-01,6263,18892
44280,20164137382812B1,6263,18892
44292,18062913483680672018-09-01,6263,18892
44299,20174125382903B1,6263,18892
44318,20164137382812B3,6263,18892
44357,17070110343335892017-09-01,6263,18892
44462,17073008270091152017-09-01,6263,18892
44494,20114137041701B1,6263,18892
44513,20114137041701B2,6263,18892
44524,16071812112645042016-09-01,6263,18892
44556,OR_OR_LVFO_2021_LFO2021-003_V12021-09-01,6263,18892
44623,18063008032147882018-09-01,6263,18892
44786,20184137372822B2,6263,18892
44890,17060407531456512017-09-01,6263,18892
44944,20234137372815B1,6263,18892
44963,20234137372815B2,6263,18892
45011,OR_LVFO_2021_LFO2021-126_V12022-09-01,6263,18892
22626,2017881102313B2,6283,18920
22626,2017881102313B2,6284,18921
39194,13050111550819212015-09-01,6294,18945
39282,15022609075654562015-09-01,6294,18945
39286,15022609080130102015-09-01,6294,18945
38818,1502260908185202015-09-01,6294,18945
39204,19090908262493192019-09-01,6294,18945
39194,13050111550819212015-09-01,6296,18947
39282,15022609075654562015-09-01,6296,18947
39286,15022609080130102015-09-01,6296,18947
38818,1502260908185202015-09-01,6296,18947
39204,19090908262493192019-09-01,6296,18947
38592,14061008002633002015-09-01,6297,18948
38734,20203213106105B1,6297,18948
38747,20203213106105B2,6297,18948
38791,NV_HRFO_INT1_2022_CC_005_V12022-09-01,6297,18948
39056,13050111543060512015-09-01,6297,18948
39061,14031807170092172015-09-01,6297,18948
39080,18071808540253402018-09-01,6297,18948
39090,12050213062675882015-09-01,6297,18948
39117,20153213106103B1,6297,18948
39145,20153213106103B2,6297,18948
39173,13050111525437982015-09-01,6297,18948
39227,NV_WMDO_LUP_2021_WMDO2021_066_V22022-09-01,6297,18948
39228,16091311443719002016-09-01,6297,18948
51808,20171637102301B1,6298,18953
42068,16062108331034382016-09-01,6299,18957
42015,20164145384235B1,6300,18958
42089,16052507505145932016-09-01,6301,18959
42292,OR_MFO_2021_MFO2021-NR-013_V12022-09-01,6301,18959
30126,NV_EKDO_FUELS_2022_Longfield01_V12022-09-01,6303,71504
30127,NV_EKDO_FUELS_2023_Longfield01_V22023-09-01,6303,71504
13738,UT_Cedar-City-LUP-Random-2020_SS-058_V12020-09-01,6308,18981
13738,UT_Cedar-City-LUP-Random-2020_SS-058_V12020-09-01,6309,18980
35699,20163231109313B1,6360,48390
37035,15071709503410212015-09-01,6360,48390
37264,15071713513186612015-09-01,6360,48390
36602,15072214155554072015-09-01,6360,48390
37198,20193231106616B1,6360,48390
36665,CA_AGFO_Range_2022_Seeded_Uplands_Cherry_Reservoir_1_V12022-09-01,6360,48390
35931,CA_NCDO_LUP_2019_CloverCreekPlot1_V22023-09-01,6360,48390
37263,CA_NCDO_LUP_2019_DenioPlot001_V22022-09-01,6360,48390
36604,CA_NCDO_LUP_2019_DuckLakePlot001_V22022-09-01,6360,48390
54851,19051913115594652019-09-01,6379,19201
9150,UT_GSENM-LUP-Random-2020_BigSage-024_V12020-09-01,6458,19411
9150,UT_GSENM-LUP-Random-2020_BigSage-024_V12020-09-01,6459,19410
46118,ID_ShoshoneFOLUP2017_BCM-053_V12021-09-01,6460,19412
46263,20141625200408B1,6460,19412
36913,16071811464854802016-09-01,6498,19525
37047,17070611465085042017-09-01,6498,19525
37311,16071907383868692016-09-01,6498,19525
37373,16060115534744772016-09-01,6498,19525
37433,17062211341246642017-09-01,6498,19525
37915,20161683104604B1,6498,19525
37930,1706211348115412017-09-01,6498,19525
37943,20161683104604B2,6498,19525
38001,17061914354536302017-09-01,6498,19525
19518,20238103101817B1,6500,19528
21498,CO_LSFO_LUP_2021_LSFO2021-112_V22023-09-01,6501,19530
21499,16071412593679132016-09-01,6501,19530
21625,CO_CO_Little_Snake_Field_Office_LUP_2021_LSFO2021-NR-011_V12021-09-01,6501,19530
27552,UT_Salt-Lake-LUP-2016-_Shade-543_V12021-09-01,6503,19535
42878,ID_SHFO_LUP_2017_OT_294_V12022-09-01,6531,19610
43014,20121663020402B2,6536,55719
21836,20233233201808B2,6537,19631
